City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Alice Springs,-23.7,133.8833,83.75,61,100,3.0,AU,1705686144
269,Afaahiti,-17.75,-149.2833,80.47,73,66,4.16,PF,1705686144
270,Mizdah,31.4451,12.9801,66.29,17,98,5.99,LY,1705686145
271,Puerto Leguizamo,-0.1934,-74.7819,84.25,77,56,3.44,CO,1705686145
272,Zouerate,22.7187,-12.4521,79.54,7,74,4.7,MR,1705686145
273,Ust-Nera,64.5667,143.2,-41.82,97,100,3.47,RU,1705686145
274,Villa Huidobro,-34.8383,-64.5869,85.51,26,0,8.9,AR,1705686146
275,Chonchi,-42.6128,-73.8092,65.41,55,77,6.2,CL,1705686146
276,Kidal,18.4411,1.4078,77.16,7,8,9.55,ML,1705686146
277,Kisoro,-1.2854,29.685,63.23,67,96,4.34,UG,1705686146
278,Ust-Kamenogorsk,49.9789,82.6103,8.53,56,88,8.95,KZ,1705686147
279,La Union,-5.4,-80.75,91.2,44,77,7.94,PE,1705686147
280,Pacific Grove,36.6177,-121.9166,54.73,88,100,5.01,US,1705686147
281,Labytnangi,66.6572,66.4183,-3.77,100,100,3.85,RU,1705686147
282,Miquelon,47.0975,-56.3814,26.6,83,100,45.14,PM,1705686148
283,Bubaque,11.2833,-15.8333,76.84,75,30,18.3,GW,1705686148
284,Hasaki,35.7333,140.8333,45.28,59,100,12.91,JP,1705686148
285,Champerico,14.3,-91.9167,91.94,41,0,10.29,GT,1705686149
286,Mohacs,45.9931,18.6831,33.26,72,100,11.12,HU,1705686149
287,Pangoa,-12.1167,-73.0,84.0,67,89,3.13,PE,1705686149
288,Wagar,16.1525,36.2032,77.81,27,30,9.48,SD,1705686149
289,Bathsheba,13.2167,-59.5167,84.81,74,40,19.57,BB,1705686150
290,Fale Old Settlement,-9.3852,-171.2468,84.79,65,100,15.17,TK,1705686150
291,Vanimo,-2.6741,141.3028,81.59,81,100,7.54,PG,1705686150
292,Srikakulam,18.3,83.9,70.34,84,12,4.32,IN,1705686150
293,Malanville,11.8685,3.3899,82.47,10,0,7.52,BJ,1705686151
294,Jiashan,30.8492,120.9258,43.48,92,100,6.82,CN,1705686151
295,Kristiansund,63.1115,7.732,30.25,93,75,9.22,NO,1705686151
296,Hithadhoo,-0.6,73.0833,82.81,68,36,8.86,MV,1705686151
297,Puerto Boyaca,5.9758,-74.5885,93.47,47,84,4.63,CO,1705686152
298,Natal,-5.795,-35.2094,90.25,55,20,10.36,BR,1705685886
299,Weno,7.4515,151.8468,82.35,74,100,14.97,FM,1705686152
300,Mulayjah,27.271,48.4242,60.96,46,7,2.73,SA,1705686153
301,Falun,60.6036,15.626,-5.39,99,14,2.84,SE,1705686153
302,Tucurui,-3.7661,-49.6725,91.4,50,76,2.28,BR,1705685957
303,La'Ie,21.6477,-157.9253,72.05,81,0,8.25,US,1705686154
304,Muisne,0.6,-80.0333,81.01,85,95,7.31,EC,1705686154
305,Constantia,44.1833,28.65,45.28,86,86,8.41,RO,1705686073
306,Argo,37.6333,22.7333,60.78,84,100,8.1,GR,1705686141
307,Qui Nhon,13.7667,109.2333,72.28,84,100,2.71,VN,1705686155
308,Antonio Enes,-16.2325,39.9086,81.32,77,88,12.21,MZ,1705686155
309,Breo,44.3904,7.8212,43.81,66,100,8.19,IT,1705686155
310,Howrah,22.5892,88.3103,62.6,88,4,3.44,IN,1705686155
311,Chul'Man,56.8479,124.9104,-28.98,100,100,0.27,RU,1705686156
312,Saint-Francois,46.4154,3.9054,28.67,86,0,3.44,FR,1705686156
313,Horishni Plavni,49.0097,33.6455,32.23,95,100,12.88,UA,1705686156
314,Yamada,39.4667,141.95,32.31,77,41,2.86,JP,1705686157
315,Labrador City,52.9463,-66.9114,19.31,79,100,11.5,CA,1705686157
316,Bad Belzig,52.1333,12.6,32.31,85,14,12.73,DE,1705686157
317,Chake Chake,-5.2459,39.7666,80.87,92,91,6.69,TZ,1705686157
318,Bayanaul,50.7889,75.6956,2.01,90,99,4.97,KZ,1705686158
319,Kuttampuzha,10.1511,76.7339,78.15,85,56,1.5,IN,1705686158
320,Naama,33.2667,-0.3167,58.33,25,88,15.95,DZ,1705686158
321,Fang,19.9169,99.2145,58.17,51,52,1.66,TH,1705686158
322,Witu,-2.3889,40.4382,82.56,87,22,10.54,KE,1705686159
323,Bermejo,-32.8833,-68.8,87.71,15,0,6.91,AR,1705686159
324,Port Douglas,-16.4833,145.4667,77.52,98,100,3.04,AU,1705686159
325,Williamston,35.8546,-77.0555,53.58,54,71,18.41,US,1705686159
326,Phan Thiet,10.9333,108.1,70.48,91,27,1.83,VN,1705686159
327,El Granada,37.5027,-122.4694,56.79,88,100,11.5,US,1705686160
328,Pisco,-13.7,-76.2167,74.01,78,0,11.5,PE,1705686160
329,Queenstown,-31.8976,26.8753,63.5,60,12,9.31,ZA,1705686160
330,Guadalupe Y Calvo,26.1,-106.9667,68.45,14,0,2.53,MX,1705686161
331,Leua,48.2156,18.6071,32.5,72,100,8.99,SK,1705686161
332,San Pedro Del Parana,-26.8333,-56.2,87.44,63,86,7.07,PY,1705686161
333,Burang,30.25,81.1667,15.58,53,0,3.31,CN,1705686161
334,Wajir,1.7471,40.0573,91.36,55,0,3.44,KE,1705686162
335,Kitimat,54.0524,-128.6534,22.91,80,100,7.0,CA,1705686162
336,Fort St. John,56.2499,-120.8529,-5.91,77,100,5.75,CA,1705686115
337,N'Zeto,-7.2312,12.8666,81.34,72,5,10.6,AO,1705686162
338,Port Hueneme,34.1478,-119.1951,63.27,87,100,5.75,US,1705686163
339,Essaouira,31.5125,-9.77,65.7,63,20,8.05,MA,1705686163
340,Thunder Bay,48.4001,-89.3168,1.38,55,40,6.91,CA,1705686163
341,Tazacorte,28.629,-17.9293,65.37,75,20,19.57,ES,1705686163
342,Alofi,-19.0595,-169.9187,78.69,94,87,3.44,NU,1705686163
343,North Bend,43.4065,-124.2243,50.25,93,0,3.44,US,1705686164
344,Rechka-Vydrino,51.485,104.8461,7.95,96,100,3.51,RU,1705686164
345,Yuzhno-Kurilsk,44.0306,145.8556,23.38,74,100,20.2,RU,1705686164
346,Los Frentones,-26.4077,-61.4137,99.84,31,50,4.23,AR,1705686164
347,Rongelap,11.1635,166.8941,78.76,75,99,24.02,MH,1705686165
348,Bonanza,14.0289,-84.591,81.28,74,38,5.88,NI,1705686165
349,Bayganin,48.6947,55.8742,18.39,81,100,17.31,KZ,1705686165
350,Metro,-5.1131,105.3067,73.13,95,100,4.21,ID,1705686166
351,Nuku'Alofa,-21.1333,-175.2,77.34,100,75,4.61,TO,1705686166
